@relation temp_velwind

@attribute temp numeric
@attribute velwind numeric

@data
16.0,1.9
15.1,1.2
14.4,1.2
14.1,1.3
14.1,1.3
13.7,1.1
13.5,1.1
13.1,1.1
13.2,1.2
13.2,0.8
13.3,0.8
13.3,0.6
13.2,0.7
13.1,1.0
14.0,0.3
15.5,1.0
16.4,1.8
16.7,2.1
17.2,1.5
17.4,1.3
17.3,1.2
17.3,1.0
17.1,0.7
16.6,0.7
15.9,0.5
14.8,0.9
14.5,1.1
14.1,1.1
14.0,0.7
13.8,0.7
13.4,1.0
13.2,1.2
13.1,1.5
12.8,1.6
12.6,1.8
12.5,1.9
12.4,1.9
12.5,2.0
14.1,0.8
15.5,1.2
16.8,2.2
17.4,2.8
17.2,2.4
16.9,1.9
16.6,1.5
16.5,1.2
16.3,0.8
16.3,0.6
15.8,0.4
14.8,0.7
14.4,1.1
13.0,0.7
12.9,0.5
12.7,0.2
12.6,0.2
12.5,0.2
12.5,0.5
12.5,0.8
12.3,0.6
12.2,0.5
12.2,0.5
12.3,0.5
12.6,0.1
13.7,1.0
15.4,1.6
16.0,1.8
16.5,1.8
16.9,1.5
17.3,1.4
17.3,0.8
17.0,0.5
16.2,0.3
14.9,0.4
13.3,1.9
12.7,2.4
12.0,2.3
11.2,2.3
10.8,2.2
